Corn leaf blight 0.0023 140 375 319 414
Corn leaf blight 0.0018 106 389 293 414
Corn leaf blight 0.0013 236 405 330 416
Corn leaf blight 0.0011 197 390 363 414
Tomato Early blight leaf 0.0903 310 114 419 186
Tomato Septoria leaf spot 0.7291 17 47 279 369
Tomato Septoria leaf spot 0.4579 275 176 412 349
Tomato Septoria leaf spot 0.3213 0 -1 82 61
Tomato Septoria leaf spot 0.2917 305 108 419 194
Tomato Septoria leaf spot 0.2874 102 0 197 45
Tomato Septoria leaf spot 0.2779 233 0 366 75
Tomato Septoria leaf spot 0.1205 281 59 377 117
Tomato Septoria leaf spot 0.0301 199 56 301 117
Tomato Septoria leaf spot 0.0285 198 44 354 125
Tomato Septoria leaf spot 0.0265 0 1 146 75
Tomato Septoria leaf spot 0.0231 117 0 247 39
Tomato Septoria leaf spot 0.0184 148 0 209 22
Tomato Septoria leaf spot 0.0177 19 72 120 128
Tomato Septoria leaf spot 0.0153 211 1 324 49
Tomato Septoria leaf spot 0.0145 -1 252 57 300
Tomato Septoria leaf spot 0.0119 264 36 405 130
Tomato Septoria leaf spot 0.0113 146 0 213 11
Tomato Septoria leaf spot 0.0105 7 39 157 125
Tomato Septoria leaf spot 0.0068 217 26 269 57
Tomato Septoria leaf spot 0.0051 -1 262 77 394
Tomato Septoria leaf spot 0.0051 0 283 41 373
Tomato Septoria leaf spot 0.0050 127 2 183 38
Tomato Septoria leaf spot 0.0045 0 254 44 338
Tomato Septoria leaf spot 0.0043 0 328 75 390
Tomato Septoria leaf spot 0.0040 0 266 23 359
Tomato Septoria leaf spot 0.0038 -2 184 78 251
Tomato Septoria leaf spot 0.0031 45 0 157 51
Tomato Septoria leaf spot 0.0028 160 0 247 8
Tomato Septoria leaf spot 0.0026 122 0 188 23
Tomato Septoria leaf spot 0.0026 24 52 185 158
Tomato Septoria leaf spot 0.0023 394 188 416 307
Tomato Septoria leaf spot 0.0023 160 1 302 42
Tomato Septoria leaf spot 0.0023 137 0 291 24
Tomato Septoria leaf spot 0.0020 374 195 417 300
Tomato Septoria leaf spot 0.0020 156 2 203 34
Tomato Septoria leaf spot 0.0020 83 1 337 52
Tomato Septoria leaf spot 0.0019 117 0 194 9
Tomato Septoria leaf spot 0.0018 26 132 118 198
Tomato Septoria leaf spot 0.0018 176 0 247 21
Tomato Septoria leaf spot 0.0017 340 169 415 299
Tomato Septoria leaf spot 0.0015 407 406 416 416
Tomato Septoria leaf spot 0.0015 298 53 417 171
Tomato Septoria leaf spot 0.0015 153 0 190 5
Tomato Septoria leaf spot 0.0015 269 143 418 281
Tomato Septoria leaf spot 0.0013 166 0 326 75
Tomato Septoria leaf spot 0.0012 0 2 23 74
Tomato Septoria leaf spot 0.0012 203 50 297 190
Tomato Septoria leaf spot 0.0011 13 304 59 388
Tomato Septoria leaf spot 0.0011 0 29 48 215
Tomato Septoria leaf spot 0.0011 373 0 418 24
Tomato Septoria leaf spot 0.0011 409 393 416 416
Tomato Septoria leaf spot 0.0010 18 58 149 219
Tomato Septoria leaf spot 0.0010 324 94 417 274
Tomato Septoria leaf spot 0.0010 112 0 157 53
Tomato Septoria leaf spot 0.0010 -1 191 45 263
grape leaf black rot 0.0018 26 391 94 416
grape leaf black rot 0.0011 15 373 91 416
