Tomato Septoria leaf spot 0.0010 149 46 262 303
Tomato leaf yellow virus 0.9402 145 158 196 234
Tomato leaf yellow virus 0.8525 129 254 209 343
Tomato leaf yellow virus 0.8459 196 149 242 250
Tomato leaf yellow virus 0.8117 307 242 360 375
Tomato leaf yellow virus 0.7701 263 179 330 254
Tomato leaf yellow virus 0.7185 115 301 158 388
Tomato leaf yellow virus 0.6792 278 248 313 337
Tomato leaf yellow virus 0.5750 127 0 167 71
Tomato leaf yellow virus 0.5499 69 153 135 207
Tomato leaf yellow virus 0.5476 261 44 324 92
Tomato leaf yellow virus 0.3462 246 152 282 241
Tomato leaf yellow virus 0.3384 55 212 97 272
Tomato leaf yellow virus 0.3249 280 103 320 167
Tomato leaf yellow virus 0.3153 0 -1 36 58
Tomato leaf yellow virus 0.3021 169 65 232 202
Tomato leaf yellow virus 0.2574 309 377 356 415
Tomato leaf yellow virus 0.1827 197 246 236 309
Tomato leaf yellow virus 0.1695 128 68 171 129
Tomato leaf yellow virus 0.1685 196 347 242 413
Tomato leaf yellow virus 0.1638 162 0 200 54
Tomato leaf yellow virus 0.1593 3 77 55 197
Tomato leaf yellow virus 0.1584 231 -1 289 46
Tomato leaf yellow virus 0.1463 161 231 204 293
Tomato leaf yellow virus 0.1193 278 0 340 51
Tomato leaf yellow virus 0.1161 86 105 130 164
Tomato leaf yellow virus 0.1078 198 277 233 347
Tomato leaf yellow virus 0.1030 1 267 46 420
Tomato leaf yellow virus 0.1005 250 286 283 373
Tomato leaf yellow virus 0.0865 50 90 126 149
Tomato leaf yellow virus 0.0783 290 153 331 212
Tomato leaf yellow virus 0.0709 228 37 261 103
Tomato leaf yellow virus 0.0661 256 126 293 209
Tomato leaf yellow virus 0.0647 104 6 168 133
Tomato leaf yellow virus 0.0641 231 113 259 189
Tomato leaf yellow virus 0.0622 200 0 220 37
Tomato leaf yellow virus 0.0607 375 336 414 413
Tomato leaf yellow virus 0.0602 118 10 162 95
Tomato leaf yellow virus 0.0549 258 4 295 73
Tomato leaf yellow virus 0.0525 73 102 132 206
Tomato leaf yellow virus 0.0506 316 93 371 176
Tomato leaf yellow virus 0.0500 134 389 179 415
Tomato leaf yellow virus 0.0469 98 15 139 91
Tomato leaf yellow virus 0.0459 117 220 148 303
Tomato leaf yellow virus 0.0452 163 58 197 118
Tomato leaf yellow virus 0.0447 18 2 61 68
Tomato leaf yellow virus 0.0428 235 231 272 293
Tomato leaf yellow virus 0.0411 0 173 23 254
Tomato leaf yellow virus 0.0393 230 0 273 28
Tomato leaf yellow virus 0.0381 236 171 270 258
Tomato leaf yellow virus 0.0376 4 86 78 244
Tomato leaf yellow virus 0.0351 355 231 391 295
Tomato leaf yellow virus 0.0340 54 364 116 415
Tomato leaf yellow virus 0.0323 187 85 249 257
Tomato leaf yellow virus 0.0320 327 1 391 48
Tomato leaf yellow virus 0.0312 351 0 390 25
Tomato leaf yellow virus 0.0308 159 0 201 26
Tomato leaf yellow virus 0.0306 394 268 417 313
Tomato leaf yellow virus 0.0303 102 212 143 284
Tomato leaf yellow virus 0.0292 207 54 249 117
Tomato leaf yellow virus 0.0279 337 230 375 297
Tomato leaf yellow virus 0.0278 151 392 190 415
Tomato leaf yellow virus 0.0257 349 72 408 230
Tomato leaf yellow virus 0.0253 409 295 416 319
Tomato leaf yellow virus 0.0246 173 -1 217 26
Tomato leaf yellow virus 0.0231 329 230 363 330
Tomato leaf yellow virus 0.0230 394 407 414 416
Tomato leaf yellow virus 0.0220 382 409 409 416
Tomato leaf yellow virus 0.0203 260 22 287 65
Tomato leaf yellow virus 0.0202 97 54 133 122
Tomato leaf yellow virus 0.0201 215 122 254 213
Tomato leaf yellow virus 0.0200 404 276 416 323
Tomato leaf yellow virus 0.0190 123 260 143 305
Tomato leaf yellow virus 0.0185 408 286 415 312
Tomato leaf yellow virus 0.0184 0 4 26 99
Tomato leaf yellow virus 0.0184 305 20 342 53
Tomato leaf yellow virus 0.0179 274 167 337 233
Tomato leaf yellow virus 0.0177 260 4 333 70
Tomato leaf yellow virus 0.0163 50 175 94 258
Tomato leaf yellow virus 0.0162 0 156 37 242
Tomato leaf yellow virus 0.0157 120 220 141 269
Tomato leaf yellow virus 0.0157 247 409 273 415
Tomato leaf yellow virus 0.0152 392 0 417 28
Tomato leaf yellow virus 0.0150 0 135 24 231
Tomato leaf yellow virus 0.0149 233 286 266 370
Tomato leaf yellow virus 0.0147 318 367 396 414
Tomato leaf yellow virus 0.0147 404 259 416 309
Tomato leaf yellow virus 0.0146 406 128 415 198
Tomato leaf yellow virus 0.0145 66 73 132 131
Tomato leaf yellow virus 0.0143 409 270 415 298
Tomato leaf yellow virus 0.0142 50 62 123 117
Tomato leaf yellow virus 0.0140 21 270 57 353
Tomato leaf yellow virus 0.0140 165 66 204 172
Tomato leaf yellow virus 0.0138 231 0 256 36
Tomato leaf yellow virus 0.0138 232 127 261 239
Tomato leaf yellow virus 0.0136 364 409 395 416
Tomato leaf yellow virus 0.0131 361 404 413 416
Tomato leaf yellow virus 0.0130 85 0 129 76
Tomato leaf yellow virus 0.0127 0 68 46 144
Tomato leaf yellow virus 0.0123 150 64 191 135
Tomato leaf yellow virus 0.0123 0 -6 24 45
Tomato leaf yellow virus 0.0122 0 281 25 404
Tomato leaf yellow virus 0.0121 409 302 416 327
Tomato leaf yellow virus 0.0116 357 393 402 415
Tomato leaf yellow virus 0.0115 340 344 413 414
Tomato leaf yellow virus 0.0113 407 1 415 23
Tomato leaf yellow virus 0.0113 17 366 93 416
Tomato leaf yellow virus 0.0112 245 -1 287 28
Tomato leaf yellow virus 0.0106 120 250 194 309
Tomato leaf yellow virus 0.0104 5 150 74 214
Tomato leaf yellow virus 0.0103 297 226 334 302
Tomato leaf yellow virus 0.0102 92 249 124 340
Tomato leaf yellow virus 0.0099 333 -1 358 38
Tomato leaf yellow virus 0.0098 392 389 414 416
Tomato leaf yellow virus 0.0098 395 296 416 333
Tomato leaf yellow virus 0.0097 57 388 110 416
Tomato leaf yellow virus 0.0096 343 27 411 182
Tomato leaf yellow virus 0.0096 0 182 9 256
Tomato leaf yellow virus 0.0095 229 0 257 5
Tomato leaf yellow virus 0.0093 409 392 415 416
Tomato leaf yellow virus 0.0093 226 36 260 69
Tomato leaf yellow virus 0.0092 157 408 186 416
Tomato leaf yellow virus 0.0088 167 365 234 415
Tomato leaf yellow virus 0.0087 326 0 354 5
Tomato leaf yellow virus 0.0086 39 78 112 131
Tomato leaf yellow virus 0.0085 198 284 259 409
Tomato leaf yellow virus 0.0084 136 370 197 415
Tomato leaf yellow virus 0.0084 180 0 219 51
Tomato leaf yellow virus 0.0084 407 405 415 416
Tomato leaf yellow virus 0.0082 330 0 379 25
Tomato leaf yellow virus 0.0081 328 230 392 367
Tomato leaf yellow virus 0.0080 377 107 412 224
Tomato leaf yellow virus 0.0078 357 93 396 204
Tomato leaf yellow virus 0.0077 307 228 345 334
Tomato leaf yellow virus 0.0076 257 136 295 173
Tomato leaf yellow virus 0.0075 407 364 415 427
Tomato leaf yellow virus 0.0075 409 6 416 32
Tomato leaf yellow virus 0.0074 22 389 67 415
Tomato leaf yellow virus 0.0074 197 296 237 387
Tomato leaf yellow virus 0.0074 84 0 114 4
Tomato leaf yellow virus 0.0073 335 19 376 54
Tomato leaf yellow virus 0.0072 407 187 416 252
Tomato leaf yellow virus 0.0072 71 -1 139 49
