Corn leaf blight 0.0053 9 6 405 407
Tomato leaf mosaic virus 0.0015 335 363 413 415
Tomato leaf yellow virus 0.9663 341 133 382 205
Tomato leaf yellow virus 0.9097 132 2 167 80
Tomato leaf yellow virus 0.7433 262 147 284 193
Tomato leaf yellow virus 0.6858 377 103 415 158
Tomato leaf yellow virus 0.6854 143 150 171 214
Tomato leaf yellow virus 0.6704 160 184 196 247
Tomato leaf yellow virus 0.5566 288 225 315 296
Tomato leaf yellow virus 0.5171 26 390 64 417
Tomato leaf yellow virus 0.4331 113 147 148 214
Tomato leaf yellow virus 0.4013 229 337 273 411
Tomato leaf yellow virus 0.3980 230 257 255 295
Tomato leaf yellow virus 0.3864 153 314 192 350
Tomato leaf yellow virus 0.3794 127 308 150 353
Tomato leaf yellow virus 0.3783 -1 176 24 217
Tomato leaf yellow virus 0.3406 174 254 195 297
Tomato leaf yellow virus 0.3380 113 258 148 292
Tomato leaf yellow virus 0.3219 233 147 254 193
Tomato leaf yellow virus 0.3101 0 313 20 363
Tomato leaf yellow virus 0.2972 211 104 230 144
Tomato leaf yellow virus 0.2899 104 39 135 101
Tomato leaf yellow virus 0.2856 16 200 37 243
Tomato leaf yellow virus 0.2733 342 36 370 109
Tomato leaf yellow virus 0.2711 168 34 199 102
Tomato leaf yellow virus 0.2567 44 220 100 274
Tomato leaf yellow virus 0.2458 9 295 47 319
Tomato leaf yellow virus 0.2433 294 -1 333 80
Tomato leaf yellow virus 0.2417 392 110 416 153
Tomato leaf yellow virus 0.2287 259 81 278 118
Tomato leaf yellow virus 0.2226 244 198 278 263
Tomato leaf yellow virus 0.2197 62 156 84 201
Tomato leaf yellow virus 0.2170 308 118 327 162
Tomato leaf yellow virus 0.2113 205 192 221 232
Tomato leaf yellow virus 0.2059 377 103 398 141
Tomato leaf yellow virus 0.1905 284 166 315 227
Tomato leaf yellow virus 0.1903 243 49 262 87
Tomato leaf yellow virus 0.1782 0 396 9 414
Tomato leaf yellow virus 0.1740 343 143 366 199
Tomato leaf yellow virus 0.1703 157 34 186 107
Tomato leaf yellow virus 0.1673 33 393 84 416
Tomato leaf yellow virus 0.1664 280 35 304 67
Tomato leaf yellow virus 0.1596 169 278 192 302
Tomato leaf yellow virus 0.1538 240 88 261 124
Tomato leaf yellow virus 0.1402 201 179 233 248
Tomato leaf yellow virus 0.1385 161 95 180 150
Tomato leaf yellow virus 0.1376 84 333 123 417
Tomato leaf yellow virus 0.1368 209 31 227 71
Tomato leaf yellow virus 0.1366 19 141 56 193
Tomato leaf yellow virus 0.1353 356 99 373 133
Tomato leaf yellow virus 0.1340 201 168 225 202
Tomato leaf yellow virus 0.1334 218 235 238 267
Tomato leaf yellow virus 0.1284 244 210 263 259
Tomato leaf yellow virus 0.1277 262 115 284 148
Tomato leaf yellow virus 0.1268 178 145 197 196
Tomato leaf yellow virus 0.1206 274 0 321 77
Tomato leaf yellow virus 0.1144 285 113 302 151
Tomato leaf yellow virus 0.1142 85 389 119 415
Tomato leaf yellow virus 0.1115 240 114 262 130
Tomato leaf yellow virus 0.1053 304 0 327 54
Tomato leaf yellow virus 0.1034 2 245 38 274
Tomato leaf yellow virus 0.1026 290 64 308 102
Tomato leaf yellow virus 0.1003 150 158 184 239
