Corn leaf blight 0.0023 312 219 411 439
Squash Powdery mildew leaf 0.0011 264 -1 411 238
Tomato Septoria leaf spot 0.0086 284 0 401 101
Tomato Septoria leaf spot 0.0021 0 -1 8 9
Tomato leaf mosaic virus 0.0038 276 248 414 425
Tomato leaf mosaic virus 0.0029 50 209 165 409
Tomato leaf yellow virus 0.8972 164 226 211 294
Tomato leaf yellow virus 0.8644 172 98 205 179
Tomato leaf yellow virus 0.7887 64 79 135 159
Tomato leaf yellow virus 0.7752 86 2 154 70
Tomato leaf yellow virus 0.7603 240 325 294 417
Tomato leaf yellow virus 0.7117 206 41 266 98
Tomato leaf yellow virus 0.6993 140 63 175 136
Tomato leaf yellow virus 0.6141 72 226 142 398
Tomato leaf yellow virus 0.5006 242 71 293 163
Tomato leaf yellow virus 0.4653 24 164 78 243
Tomato leaf yellow virus 0.4430 154 0 245 38
Tomato leaf yellow virus 0.4066 303 188 341 246
Tomato leaf yellow virus 0.3921 342 171 383 251
Tomato leaf yellow virus 0.2885 301 230 362 328
Tomato leaf yellow virus 0.2757 246 199 312 297
Tomato leaf yellow virus 0.2071 156 225 213 341
Tomato leaf yellow virus 0.2017 218 219 264 281
Tomato leaf yellow virus 0.1626 314 130 347 198
Tomato leaf yellow virus 0.1499 183 39 218 106
Tomato leaf yellow virus 0.1191 82 138 118 198
Tomato leaf yellow virus 0.0895 289 97 329 167
Tomato leaf yellow virus 0.0870 270 149 313 212
Tomato leaf yellow virus 0.0724 227 229 303 299
Tomato leaf yellow virus 0.0667 135 93 173 177
Tomato leaf yellow virus 0.0583 117 157 148 211
Tomato leaf yellow virus 0.0518 172 178 217 216
Tomato leaf yellow virus 0.0511 72 216 114 270
Tomato leaf yellow virus 0.0468 277 219 314 300
Tomato leaf yellow virus 0.0418 143 33 190 115
Tomato leaf yellow virus 0.0320 244 140 317 201
Tomato leaf yellow virus 0.0301 98 178 121 215
Tomato leaf yellow virus 0.0299 122 218 159 312
Tomato leaf yellow virus 0.0285 149 266 195 355
Tomato leaf yellow virus 0.0285 160 247 205 285
Tomato leaf yellow virus 0.0277 334 160 359 199
Tomato leaf yellow virus 0.0242 32 202 72 239
Tomato leaf yellow virus 0.0233 182 0 240 26
Tomato leaf yellow virus 0.0220 244 171 312 225
