Apple Scab Leaf 0.0080 134 170 206 361
Potato leaf early blight 0.0047 132 159 207 341
Potato leaf early blight 0.0023 334 0 378 25
Squash Powdery mildew leaf 0.6996 0 25 283 182
Squash Powdery mildew leaf 0.3960 -2 162 141 403
Squash Powdery mildew leaf 0.3830 136 179 286 414
Squash Powdery mildew leaf 0.3157 244 150 375 267
Squash Powdery mildew leaf 0.0467 264 186 413 419
Squash Powdery mildew leaf 0.0380 264 170 404 291
Squash Powdery mildew leaf 0.0329 21 14 389 404
Squash Powdery mildew leaf 0.0261 374 0 415 72
Squash Powdery mildew leaf 0.0199 146 144 389 407
Squash Powdery mildew leaf 0.0196 205 0 290 148
Squash Powdery mildew leaf 0.0194 6 167 97 299
Squash Powdery mildew leaf 0.0172 335 35 414 174
Squash Powdery mildew leaf 0.0163 367 157 414 307
Squash Powdery mildew leaf 0.0147 267 307 404 417
Squash Powdery mildew leaf 0.0132 395 139 416 263
Squash Powdery mildew leaf 0.0127 283 269 368 330
Squash Powdery mildew leaf 0.0115 186 172 273 356
Squash Powdery mildew leaf 0.0109 226 17 300 188
Squash Powdery mildew leaf 0.0095 337 -2 415 56
Squash Powdery mildew leaf 0.0095 223 103 303 167
Squash Powdery mildew leaf 0.0083 394 1 416 108
Squash Powdery mildew leaf 0.0081 390 313 416 407
Squash Powdery mildew leaf 0.0063 225 103 265 168
Squash Powdery mildew leaf 0.0062 -2 258 125 419
Squash Powdery mildew leaf 0.0060 220 106 394 311
Squash Powdery mildew leaf 0.0056 226 143 302 195
Squash Powdery mildew leaf 0.0056 1 20 164 150
Squash Powdery mildew leaf 0.0051 376 298 416 395
Squash Powdery mildew leaf 0.0049 340 275 412 412
Squash Powdery mildew leaf 0.0045 338 179 419 319
Squash Powdery mildew leaf 0.0044 333 40 414 108
Squash Powdery mildew leaf 0.0044 242 -1 317 51
Squash Powdery mildew leaf 0.0043 375 152 416 251
Squash Powdery mildew leaf 0.0041 354 304 395 387
Squash Powdery mildew leaf 0.0040 206 119 351 236
Squash Powdery mildew leaf 0.0039 373 234 416 321
Squash Powdery mildew leaf 0.0037 211 -1 250 80
Squash Powdery mildew leaf 0.0036 274 192 374 267
Squash Powdery mildew leaf 0.0034 212 93 338 193
Squash Powdery mildew leaf 0.0033 279 369 374 416
Squash Powdery mildew leaf 0.0032 223 0 264 40
Squash Powdery mildew leaf 0.0032 0 272 49 416
Squash Powdery mildew leaf 0.0030 0 0 88 9
Squash Powdery mildew leaf 0.0029 248 144 338 198
Squash Powdery mildew leaf 0.0029 375 78 416 162
Squash Powdery mildew leaf 0.0028 0 39 20 167
Squash Powdery mildew leaf 0.0028 154 -1 325 215
Squash Powdery mildew leaf 0.0027 -27 -29 318 251
Squash Powdery mildew leaf 0.0027 133 208 200 411
Squash Powdery mildew leaf 0.0026 208 116 290 186
Squash Powdery mildew leaf 0.0026 395 31 416 178
Squash Powdery mildew leaf 0.0025 389 185 415 309
Squash Powdery mildew leaf 0.0025 322 112 398 162
Squash Powdery mildew leaf 0.0023 269 1 412 152
Squash Powdery mildew leaf 0.0023 -1 0 24 81
Squash Powdery mildew leaf 0.0022 198 14 406 273
Squash Powdery mildew leaf 0.0022 256 0 301 79
Squash Powdery mildew leaf 0.0022 239 65 284 145
Squash Powdery mildew leaf 0.0021 354 2 397 69
Squash Powdery mildew leaf 0.0020 363 -4 416 119
Squash Powdery mildew leaf 0.0020 135 -3 294 103
Squash Powdery mildew leaf 0.0020 252 0 301 24
Squash Powdery mildew leaf 0.0019 339 315 384 404
Squash Powdery mildew leaf 0.0018 231 109 253 152
Squash Powdery mildew leaf 0.0018 307 -2 412 100
Squash Powdery mildew leaf 0.0018 263 112 400 249
