Corn leaf blight 0.0022 65 57 133 307
Tomato Septoria leaf spot 0.8709 18 120 96 318
Tomato Septoria leaf spot 0.8337 114 96 232 388
Tomato Septoria leaf spot 0.8041 231 110 335 380
Tomato Septoria leaf spot 0.3231 178 57 252 215
Tomato Septoria leaf spot 0.2604 120 3 175 112
Tomato Septoria leaf spot 0.1745 47 5 124 235
Tomato Septoria leaf spot 0.0776 301 0 384 43
Tomato Septoria leaf spot 0.0746 22 -9 130 347
Tomato Septoria leaf spot 0.0406 309 57 414 295
Tomato Septoria leaf spot 0.0191 116 106 196 294
Tomato Septoria leaf spot 0.0150 242 205 323 405
Tomato Septoria leaf spot 0.0118 365 67 416 270
Tomato Septoria leaf spot 0.0085 397 69 416 200
Tomato Septoria leaf spot 0.0079 157 174 239 386
Tomato Septoria leaf spot 0.0078 247 99 320 274
Tomato Septoria leaf spot 0.0076 2 110 45 324
Tomato Septoria leaf spot 0.0075 203 79 253 286
Tomato Septoria leaf spot 0.0043 204 97 250 204
Tomato Septoria leaf spot 0.0037 398 99 417 267
Tomato Septoria leaf spot 0.0030 86 0 144 23
Tomato Septoria leaf spot 0.0026 398 170 416 324
Tomato Septoria leaf spot 0.0024 323 -2 423 45
Tomato Septoria leaf spot 0.0022 168 47 237 167
Tomato Septoria leaf spot 0.0020 405 96 415 181
Tomato Septoria leaf spot 0.0020 138 170 204 378
Tomato Septoria leaf spot 0.0018 296 0 420 26
Tomato Septoria leaf spot 0.0018 399 205 416 385
Tomato Septoria leaf spot 0.0017 80 0 159 43
Tomato Septoria leaf spot 0.0017 -2 119 46 220
Tomato Septoria leaf spot 0.0017 266 0 366 8
Tomato Septoria leaf spot 0.0017 0 125 23 276
Tomato Septoria leaf spot 0.0016 35 3 111 148
Tomato Septoria leaf spot 0.0016 51 83 126 313
Tomato Septoria leaf spot 0.0016 310 0 385 9
Tomato Septoria leaf spot 0.0014 320 0 377 25
Tomato Septoria leaf spot 0.0011 367 131 414 333
Tomato Septoria leaf spot 0.0011 399 5 416 171
Tomato Septoria leaf spot 0.0011 373 86 416 183
Tomato Septoria leaf spot 0.0011 271 0 407 85
Tomato Septoria leaf spot 0.0010 106 0 231 99
Tomato Septoria leaf spot 0.0010 276 24 351 150
